pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,ecosystem,privid
4,1769214319.3377247,37,0,EB:EE:5F:EC:7E:75,8E89BED6,APPLE,757eec5feeeb1eff4c00121960435293f60f12d3264f96a037a021ea02ff3a1288e6470026,-32904.732802,8308.434298,-32904.731894,357948.54367,266069.679652,0.957981,-68.626511,101.5,-8848.941267,18.598957,335106.382979,376.0,-1493.310181,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-88097.28125,-27496.873047,82461,83213,-3363.225019,-117730.774483,-22923.570599,-5412.39281,APPLE,
5,1769214319.3761315,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe020096ae75425b3002340303edfe,-16862.125524,1153.808756,-16862.125126,284715.850706,224570.060833,0.941018,-68.628067,0.5,-10365.375058,21.260851,243243.243243,296.0,1770.932739,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-86134.492188,-15657.417969,131267,131859,6337.744051,-39607.287834,-2172.039245,-54465.230224,TILE,
6,1769214319.4009311,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe020096ae75425b3002340303edfe,-16565.593828,704.782199,-16565.592675,283303.452285,225740.874858,0.939204,-69.167315,0.5,-10710.452162,21.252049,243243.243243,296.0,1543.49231,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-86134.492188,-15668.541992,131268,131860,-16176.323875,-27366.391552,6436.512545,-39696.358116,TILE,
7,1769214319.428079,37,0,C4:CC:AB:84:E5:53,8E89BED6,APPLE,53e584abccc41eff4c00121910fe17d18736d0a2b1ababccc0af5d9ed4d91323e77a2f0049,-3059.669365,3215.026778,-3059.669276,356038.233289,267145.098972,0.970481,-53.996811,2.5,7805.036622,20.692203,401595.744681,376.0,-3218.281738,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-26961.556641,-7733.70166,135175,135927,-406.821817,2952.776045,-34724.547889,29410.856335,APPLE,
8,1769214319.4685953,37,0,C4:CC:AB:84:E5:53,8E89BED6,APPLE,53e584abccc41eff4c00121910fe17d18736d0a2b1ababccc0af5d9ed4d91323e77a2f0049,-3463.376222,3191.562831,-3463.375371,355681.385784,273218.819501,0.971892,-53.500208,2.5,7668.013841,20.697204,401595.744681,376.0,-3359.871826,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-26961.556641,-7770.866211,135176,135928,25962.139206,-15650.879049,-37764.442754,12957.216074,APPLE,
9,1769214319.5102768,37,0,F0:F6:16:D9:B9:56,8E89BED6,APPLE,56b9d916f6f01eff4c001219109c8c0caa1cb9a65e2bfa8a116b02224f70e0e31dc28f02c5,10187.732094,-1712.073618,10187.732979,310581.613626,249428.210722,1.032984,-18.295992,40.5,5338.047697,22.167384,332446.808511,376.0,9419.790039,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,7011.205566,6103.240234,156339,157091,2995.924667,-10040.175382,36553.423621,27483.233119,APPLE,
22,1769214319.7703516,37,0,C8:48:BB:51:E1:A0,8E89BED6,APPLE,a0e151bb48c81eff4c00121910ead3335f3e0162b4b803d9c9b2474a29f4aea89c455d0288,32956.657112,11622.879764,32956.657105,354082.184041,263164.887851,0.962866,64.042843,3.5,42595.588519,22.860506,127659.574468,376.0,14904.707031,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,26015.677734,27246.855469,499734,500486,42506.329579,29672.168307,30988.462941,40048.020032,APPLE,
29,1769214319.8141072,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41995b27562a548df6d8cb869a2bb7c10da20dd5a0dd,-5849.499725,9241.534995,-5849.499277,287132.540255,198547.923047,0.961959,64.127214,1.0,8181.487508,21.019264,416666.666667,360.0,6977.717285,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,11365.001953,-8406.584961,526815,527535,-18938.19264,-21409.812079,20305.196621,-5457.980023,GOOGLE,
30,1769214319.8527114,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41995b27562a548df6d8cb869a2bb7c10da20dd5a0dd,-5975.685776,9117.310704,-5975.684787,287136.50324,219708.654951,0.963246,64.015503,1.0,8042.002824,20.991392,416666.666667,360.0,6939.175293,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,11365.001953,-8460.762695,526816,527536,-10064.318008,-937.891008,-4060.66767,-6785.763755,GOOGLE,
40,1769214319.904303,37,0,DC:D9:17:9B:A7:45,8E89BED6,TILE,45a79b17d9dc0201060303edfe0d16edfe0200b3638bc638caebb4,-6256.606287,-4588.480088,-6256.607171,282311.499168,231513.428783,1.081172,22.80543,2.0,4485.826785,22.10951,364864.864865,296.0,739.983826,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-17759.158203,2503.932617,665122,665714,-27914.522994,-831.179801,-1802.672746,39771.297094,TILE,
